-124.779204,74.341713
-124.293761,74.338905
-122.152042,72.940431
-125.704230,72.000305
-125.796663,71.956300
-125.946793,71.963139
-126.002921,71.967584
-128.002829,70.567157
-128.001555,70.565857
-127.210216,70.204756
-126.598490,69.199895
-132.002770,68.550084
-137.002991,68.499995
-140.739511,69.321039
-141.003326,69.647404
-141.003743,72.000043
-142.003789,72.000024
-143.003832,72.000003
-144.003873,71.999983
-145.003915,71.999963
-146.003959,71.999944
-147.244681,72.479301
-137.416231,76.000268
-136.004465,76.000293
-135.004399,76.000311
-134.004331,76.000330
-133.004260,76.000347
-132.004190,76.000365
-131.004116,76.000381
-130.004040,76.000397
-129.003968,76.000413
-128.003893,76.000431
-127.003818,76.000447
-126.003739,76.000463
-125.003657,76.000478
-124.003578,76.000492
-123.003498,76.000507
-122.377644,76.000516
-122.463211,75.971549
-122.716731,75.975073
-124.779204,74.341713
